Sector,Skill,DemandLabel
 Mac,Casablanca,Highly Demanded
 Mac,JOB DEVELOPPEMENT,Highly Demanded
,Banque / Assurance,Highly Demanded
,[],Highly Demanded
,recrute « Conseiller Commercial Expert En Assurances Santé ou en Auto/Decennale» H/F en CDI.,Normally Demanded
,Maza Claire vise à doubler ses effectifs et à offrir des emplois stables dans un environnement de qualité. Spécialisée dans la vente de contrats de mutuelle santé,Highly Demanded
,CABINET DE RECRUTEMENT ET DE CONSEIL EN RESSOURCES HUMAINES,Highly Demanded
,[Proactif,Normally Demanded
,Casablanca,Highly Demanded
,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia,Highly Demanded
,se présente à vous,Normally Demanded
,[Confident],Normally Demanded
,veuillez nous faire parvenir votre CV dès maintenant.,Normally Demanded
,Co Managers,Highly Demanded
,amoureux du livre. LA COLLINE vous invite à vous procurer une variété de produit allant de la puériculture et s’étendent à différentes étapes de l’éveil et de l’apprentissage. A LA COLLINE,Normally Demanded
,Commerce / Distribution / Vente / Import-export,Normally Demanded
,les seniors sont bien gâtés ,Normally Demanded
,Casablanca-Settat,Normally Demanded
,Salaire fixe de ,Normally Demanded
,les commerciaux et les gestionnaires auront l'opportunité de travailler pour une entreprise en pleine croissance,Highly Demanded
,Maza Claire recherche actuellement des commerciaux sédentaires et gestionnaires pour répondre aux appels des clients et leur proposer des solutions adaptées à leurs besoins. Les commerciaux de Maza Claire sont formés pour comparer les offres de différentes compagnies d'assurance et conseiller les clients sur les options les plus adaptées pour leur santé et leur budget. En rejoignant l'équipe de Maza Claire,Highly Demanded
,Rabat-Salé-Kénitra,Normally Demanded
,Fès et Tanger.,Normally Demanded
,Rabat-Salé-Kénitra,Highly Demanded
,Rabat,Normally Demanded
,Agadir,Normally Demanded
,Kenitra,Normally Demanded
,Casablanca-Settat,Highly Demanded
,Métiers des centres d'appels,Highly Demanded
23/12/2024,Métiers des centres d'appels,Normally Demanded
23/12/2024,Casablanca,Normally Demanded
23/12/2024,Casablanca-Settat,Normally Demanded
Banque / Organisme financier,l’industrie sensible et de pointe,Highly Demanded
Banque / Organisme financier,les espaces de vente,Highly Demanded
Banque / Organisme financier,[],Highly Demanded
Banque / Organisme financier,[Dynamique],Normally Demanded
Banque / Organisme financier,[],Highly Demanded
Banque / Organisme financier,les musées,Highly Demanded
Banque / Organisme financier,[],Highly Demanded
Education / Enseignement / Formation,Commerce / Distribution / Vente / Import-export,Normally Demanded
Education / Enseignement / Formation,[],Highly Demanded
Education / Enseignement / Formation,Mohammedia,Normally Demanded
Education / Enseignement / Formation,[Ventes],Normally Demanded
